Time=0 | clk=0 | x=0 | y=0 | ce_alu=0 | opConfig=000| opLoad=0 | out=x | reset=1
Time=5000 | clk=1 | x=0 | y=0 | ce_alu=0 | opConfig=000| opLoad=0 | out=0 | reset=1
Time=10000 | clk=0 | x=0 | y=0 | ce_alu=1 | opConfig=111| opLoad=1 | out=0 | reset=0
Time=15000 | clk=1 | x=0 | y=0 | ce_alu=1 | opConfig=111| opLoad=1 | out=0 | reset=0
Time=20000 | clk=0 | x=1 | y=1 | ce_alu=0 | opConfig=000| opLoad=0 | out=1 | reset=0
Time=25000 | clk=1 | x=1 | y=1 | ce_alu=0 | opConfig=000| opLoad=0 | out=1 | reset=0
Time=30000 | clk=0 | x=1 | y=1 | ce_alu=0 | opConfig=001| opLoad=1 | out=1 | reset=0
Time=35000 | clk=1 | x=1 | y=1 | ce_alu=0 | opConfig=001| opLoad=1 | out=1 | reset=0
Time=40000 | clk=0 | x=1 | y=1 | ce_alu=0 | opConfig=100| opLoad=1 | out=1 | reset=0
Time=45000 | clk=1 | x=1 | y=1 | ce_alu=0 | opConfig=100| opLoad=1 | out=1 | reset=0
Time=50000 | clk=0 | x=0 | y=1 | ce_alu=0 | opConfig=110| opLoad=0 | out=0 | reset=0
Time=55000 | clk=1 | x=0 | y=1 | ce_alu=0 | opConfig=110| opLoad=0 | out=0 | reset=0
Time=60000 | clk=0 | x=1 | y=0 | ce_alu=0 | opConfig=110| opLoad=0 | out=1 | reset=0
Time=65000 | clk=1 | x=1 | y=0 | ce_alu=0 | opConfig=110| opLoad=0 | out=1 | reset=0
Time=70000 | clk=0 | x=0 | y=1 | ce_alu=1 | opConfig=000| opLoad=0 | out=0 | reset=0
Time=75000 | clk=1 | x=0 | y=1 | ce_alu=1 | opConfig=000| opLoad=0 | out=0 | reset=0
Time=80000 | clk=0 | x=0 | y=0 | ce_alu=0 | opConfig=000| opLoad=0 | out=0 | reset=0
Time=85000 | clk=1 | x=0 | y=0 | ce_alu=0 | opConfig=000| opLoad=0 | out=0 | reset=0
Time=90000 | clk=0 | x=1 | y=0 | ce_alu=1 | opConfig=110| opLoad=1 | out=1 | reset=0
Time=95000 | clk=1 | x=1 | y=0 | ce_alu=1 | opConfig=110| opLoad=1 | out=1 | reset=0
Time=100000 | clk=0 | x=0 | y=0 | ce_alu=1 | opConfig=101| opLoad=0 | out=0 | reset=0
Time=105000 | clk=1 | x=0 | y=0 | ce_alu=1 | opConfig=101| opLoad=0 | out=0 | reset=0
Time=110000 | clk=0 | x=0 | y=0 | ce_alu=0 | opConfig=100| opLoad=1 | out=0 | reset=0
Time=115000 | clk=1 | x=0 | y=0 | ce_alu=0 | opConfig=100| opLoad=1 | out=0 | reset=0
Time=120000 | clk=0 | x=0 | y=1 | ce_alu=0 | opConfig=000| opLoad=1 | out=0 | reset=0
Time=125000 | clk=1 | x=0 | y=1 | ce_alu=0 | opConfig=000| opLoad=1 | out=1 | reset=0
Time=130000 | clk=0 | x=1 | y=0 | ce_alu=1 | opConfig=001| opLoad=0 | out=1 | reset=0
Time=135000 | clk=1 | x=1 | y=0 | ce_alu=1 | opConfig=001| opLoad=0 | out=1 | reset=0
Time=140000 | clk=0 | x=1 | y=0 | ce_alu=1 | opConfig=101| opLoad=0 | out=1 | reset=0
Time=145000 | clk=1 | x=1 | y=0 | ce_alu=1 | opConfig=101| opLoad=0 | out=1 | reset=0
Time=150000 | clk=0 | x=0 | y=1 | ce_alu=1 | opConfig=101| opLoad=0 | out=1 | reset=0
Time=155000 | clk=1 | x=0 | y=1 | ce_alu=1 | opConfig=101| opLoad=0 | out=1 | reset=0
Time=160000 | clk=0 | x=1 | y=1 | ce_alu=0 | opConfig=010| opLoad=1 | out=0 | reset=0
Time=165000 | clk=1 | x=1 | y=1 | ce_alu=0 | opConfig=010| opLoad=1 | out=1 | reset=0
Time=170000 | clk=0 | x=1 | y=1 | ce_alu=0 | opConfig=110| opLoad=0 | out=1 | reset=0
Time=175000 | clk=1 | x=1 | y=1 | ce_alu=0 | opConfig=110| opLoad=0 | out=1 | reset=0
Time=180000 | clk=0 | x=0 | y=0 | ce_alu=0 | opConfig=100| opLoad=1 | out=0 | reset=0
Time=185000 | clk=1 | x=0 | y=0 | ce_alu=0 | opConfig=100| opLoad=1 | out=0 | reset=0
Time=190000 | clk=0 | x=1 | y=0 | ce_alu=1 | opConfig=000| opLoad=0 | out=1 | reset=0
Time=195000 | clk=1 | x=1 | y=0 | ce_alu=1 | opConfig=000| opLoad=0 | out=1 | reset=0
Time=200000 | clk=0 | x=1 | y=1 | ce_alu=0 | opConfig=000| opLoad=1 | out=1 | reset=0
Time=205000 | clk=1 | x=1 | y=1 | ce_alu=0 | opConfig=000| opLoad=1 | out=0 | reset=0
Time=210000 | clk=0 | x=0 | y=1 | ce_alu=1 | opConfig=101| opLoad=0 | out=1 | reset=0
Time=215000 | clk=1 | x=0 | y=1 | ce_alu=1 | opConfig=101| opLoad=0 | out=1 | reset=0
Time=220000 | clk=0 | x=1 | y=0 | ce_alu=0 | opConfig=000| opLoad=0 | out=1 | reset=0
Time=225000 | clk=1 | x=1 | y=0 | ce_alu=0 | opConfig=000| opLoad=0 | out=1 | reset=0
Time=230000 | clk=0 | x=1 | y=0 | ce_alu=0 | opConfig=011| opLoad=0 | out=1 | reset=0
Time=235000 | clk=1 | x=1 | y=0 | ce_alu=0 | opConfig=011| opLoad=0 | out=1 | reset=0
Time=240000 | clk=0 | x=1 | y=1 | ce_alu=1 | opConfig=010| opLoad=1 | out=0 | reset=0
Time=245000 | clk=1 | x=1 | y=1 | ce_alu=1 | opConfig=010| opLoad=1 | out=1 | reset=0
Time=250000 | clk=0 | x=1 | y=1 | ce_alu=0 | opConfig=010| opLoad=0 | out=1 | reset=0
Time=255000 | clk=1 | x=1 | y=1 | ce_alu=0 | opConfig=010| opLoad=0 | out=1 | reset=0
Time=260000 | clk=0 | x=1 | y=1 | ce_alu=1 | opConfig=000| opLoad=1 | out=1 | reset=0
Time=265000 | clk=1 | x=1 | y=1 | ce_alu=1 | opConfig=000| opLoad=1 | out=0 | reset=0
Time=270000 | clk=0 | x=0 | y=0 | ce_alu=0 | opConfig=000| opLoad=1 | out=0 | reset=0
Time=275000 | clk=1 | x=0 | y=0 | ce_alu=0 | opConfig=000| opLoad=1 | out=0 | reset=0
Time=280000 | clk=0 | x=0 | y=1 | ce_alu=0 | opConfig=111| opLoad=1 | out=1 | reset=0
Time=285000 | clk=1 | x=0 | y=1 | ce_alu=0 | opConfig=111| opLoad=1 | out=1 | reset=0
Time=290000 | clk=0 | x=0 | y=0 | ce_alu=0 | opConfig=110| opLoad=1 | out=0 | reset=0
Time=295000 | clk=1 | x=0 | y=0 | ce_alu=0 | opConfig=110| opLoad=1 | out=0 | reset=0
Time=300000 | clk=0 | x=0 | y=1 | ce_alu=0 | opConfig=000| opLoad=1 | out=0 | reset=0
Time=305000 | clk=1 | x=0 | y=1 | ce_alu=0 | opConfig=000| opLoad=1 | out=1 | reset=0
Time=310000 | clk=0 | x=1 | y=0 | ce_alu=0 | opConfig=100| opLoad=1 | out=1 | reset=0
Time=315000 | clk=1 | x=1 | y=0 | ce_alu=0 | opConfig=100| opLoad=1 | out=1 | reset=0
Time=320000 | clk=0 | x=0 | y=0 | ce_alu=1 | opConfig=110| opLoad=0 | out=0 | reset=0
Time=325000 | clk=1 | x=0 | y=0 | ce_alu=1 | opConfig=110| opLoad=0 | out=0 | reset=0
Time=330000 | clk=0 | x=0 | y=0 | ce_alu=1 | opConfig=010| opLoad=0 | out=0 | reset=0
Time=335000 | clk=1 | x=0 | y=0 | ce_alu=1 | opConfig=010| opLoad=0 | out=0 | reset=0
Time=340000 | clk=0 | x=1 | y=1 | ce_alu=1 | opConfig=001| opLoad=1 | out=0 | reset=0
Time=345000 | clk=1 | x=1 | y=1 | ce_alu=1 | opConfig=001| opLoad=1 | out=1 | reset=0
Time=350000 | clk=0 | x=0 | y=1 | ce_alu=1 | opConfig=000| opLoad=0 | out=0 | reset=0
Time=355000 | clk=1 | x=0 | y=1 | ce_alu=1 | opConfig=000| opLoad=0 | out=0 | reset=0
Time=360000 | clk=0 | x=0 | y=0 | ce_alu=1 | opConfig=000| opLoad=0 | out=0 | reset=0
Time=365000 | clk=1 | x=0 | y=0 | ce_alu=1 | opConfig=000| opLoad=0 | out=0 | reset=0
Time=370000 | clk=0 | x=0 | y=0 | ce_alu=0 | opConfig=111| opLoad=1 | out=0 | reset=0
Time=375000 | clk=1 | x=0 | y=0 | ce_alu=0 | opConfig=111| opLoad=1 | out=0 | reset=0
Time=380000 | clk=0 | x=1 | y=1 | ce_alu=1 | opConfig=011| opLoad=1 | out=1 | reset=0
Time=385000 | clk=1 | x=1 | y=1 | ce_alu=1 | opConfig=011| opLoad=1 | out=0 | reset=0
Time=390000 | clk=0 | x=1 | y=1 | ce_alu=0 | opConfig=000| opLoad=1 | out=0 | reset=0
Time=395000 | clk=1 | x=1 | y=1 | ce_alu=0 | opConfig=000| opLoad=1 | out=0 | reset=0
Time=400000 | clk=0 | x=1 | y=0 | ce_alu=1 | opConfig=110| opLoad=1 | out=1 | reset=0
Time=405000 | clk=1 | x=1 | y=0 | ce_alu=1 | opConfig=110| opLoad=1 | out=1 | reset=0
Time=410000 | clk=0 | x=0 | y=1 | ce_alu=0 | opConfig=110| opLoad=1 | out=1 | reset=0
Time=415000 | clk=1 | x=0 | y=1 | ce_alu=0 | opConfig=110| opLoad=1 | out=1 | reset=0
Time=420000 | clk=0 | x=0 | y=0 | ce_alu=0 | opConfig=101| opLoad=1 | out=0 | reset=0
Time=425000 | clk=1 | x=0 | y=0 | ce_alu=0 | opConfig=101| opLoad=1 | out=0 | reset=0
Time=430000 | clk=0 | x=0 | y=1 | ce_alu=0 | opConfig=111| opLoad=1 | out=0 | reset=0
Time=435000 | clk=1 | x=0 | y=1 | ce_alu=0 | opConfig=111| opLoad=1 | out=1 | reset=0
Time=440000 | clk=0 | x=1 | y=1 | ce_alu=1 | opConfig=101| opLoad=0 | out=0 | reset=0
Time=445000 | clk=1 | x=1 | y=1 | ce_alu=1 | opConfig=101| opLoad=0 | out=0 | reset=0
Time=450000 | clk=0 | x=1 | y=0 | ce_alu=1 | opConfig=000| opLoad=0 | out=1 | reset=0
Time=455000 | clk=1 | x=1 | y=0 | ce_alu=1 | opConfig=000| opLoad=0 | out=1 | reset=0
Time=460000 | clk=0 | x=0 | y=1 | ce_alu=1 | opConfig=111| opLoad=0 | out=1 | reset=0
Time=465000 | clk=1 | x=0 | y=1 | ce_alu=1 | opConfig=111| opLoad=0 | out=0 | reset=0
Time=470000 | clk=0 | x=0 | y=0 | ce_alu=1 | opConfig=110| opLoad=1 | out=1 | reset=0
Time=475000 | clk=1 | x=0 | y=0 | ce_alu=1 | opConfig=110| opLoad=1 | out=0 | reset=0
Time=480000 | clk=0 | x=0 | y=1 | ce_alu=1 | opConfig=010| opLoad=0 | out=0 | reset=0
Time=485000 | clk=1 | x=0 | y=1 | ce_alu=1 | opConfig=010| opLoad=0 | out=0 | reset=0
Time=490000 | clk=0 | x=1 | y=0 | ce_alu=0 | opConfig=000| opLoad=0 | out=1 | reset=0
Time=495000 | clk=1 | x=1 | y=0 | ce_alu=0 | opConfig=000| opLoad=0 | out=1 | reset=0
Time=500000 | clk=0 | x=1 | y=0 | ce_alu=0 | opConfig=000| opLoad=0 | out=1 | reset=0
Time=505000 | clk=1 | x=1 | y=0 | ce_alu=0 | opConfig=000| opLoad=0 | out=1 | reset=0
Time=510000 | clk=0 | x=1 | y=1 | ce_alu=0 | opConfig=101| opLoad=0 | out=1 | reset=0
Time=515000 | clk=1 | x=1 | y=1 | ce_alu=0 | opConfig=101| opLoad=0 | out=1 | reset=0
Time=520000 | clk=0 | x=1 | y=0 | ce_alu=0 | opConfig=111| opLoad=1 | out=1 | reset=0
Time=525000 | clk=1 | x=1 | y=0 | ce_alu=0 | opConfig=111| opLoad=1 | out=1 | reset=0
Time=530000 | clk=0 | x=0 | y=1 | ce_alu=0 | opConfig=000| opLoad=0 | out=1 | reset=0
Time=535000 | clk=1 | x=0 | y=1 | ce_alu=0 | opConfig=000| opLoad=0 | out=1 | reset=0
Time=540000 | clk=0 | x=1 | y=0 | ce_alu=1 | opConfig=000| opLoad=1 | out=1 | reset=0
Time=545000 | clk=1 | x=1 | y=0 | ce_alu=1 | opConfig=000| opLoad=1 | out=1 | reset=0
Time=550000 | clk=0 | x=0 | y=0 | ce_alu=0 | opConfig=010| opLoad=0 | out=0 | reset=0
Time=555000 | clk=1 | x=0 | y=0 | ce_alu=0 | opConfig=010| opLoad=0 | out=0 | reset=0
Time=560000 | clk=0 | x=1 | y=1 | ce_alu=0 | opConfig=111| opLoad=0 | out=0 | reset=0
Time=565000 | clk=1 | x=1 | y=1 | ce_alu=0 | opConfig=111| opLoad=0 | out=0 | reset=0
Time=570000 | clk=0 | x=0 | y=0 | ce_alu=0 | opConfig=100| opLoad=0 | out=0 | reset=0
Time=575000 | clk=1 | x=0 | y=0 | ce_alu=0 | opConfig=100| opLoad=0 | out=0 | reset=0
Time=580000 | clk=0 | x=1 | y=0 | ce_alu=1 | opConfig=110| opLoad=1 | out=1 | reset=0
Time=585000 | clk=1 | x=1 | y=0 | ce_alu=1 | opConfig=110| opLoad=1 | out=1 | reset=0
Time=590000 | clk=0 | x=0 | y=0 | ce_alu=1 | opConfig=101| opLoad=0 | out=0 | reset=0
Time=595000 | clk=1 | x=0 | y=0 | ce_alu=1 | opConfig=101| opLoad=0 | out=0 | reset=0
Time=600000 | clk=0 | x=0 | y=0 | ce_alu=1 | opConfig=011| opLoad=0 | out=0 | reset=0
Time=605000 | clk=1 | x=0 | y=0 | ce_alu=1 | opConfig=011| opLoad=0 | out=0 | reset=0
Time=610000 | clk=0 | x=1 | y=0 | ce_alu=1 | opConfig=001| opLoad=0 | out=1 | reset=0
Time=615000 | clk=1 | x=1 | y=0 | ce_alu=1 | opConfig=001| opLoad=0 | out=1 | reset=0
Time=620000 | clk=0 | x=1 | y=0 | ce_alu=0 | opConfig=011| opLoad=0 | out=1 | reset=0
Time=625000 | clk=1 | x=1 | y=0 | ce_alu=0 | opConfig=011| opLoad=0 | out=1 | reset=0
Time=630000 | clk=0 | x=1 | y=0 | ce_alu=1 | opConfig=101| opLoad=1 | out=1 | reset=0
Time=635000 | clk=1 | x=1 | y=0 | ce_alu=1 | opConfig=101| opLoad=1 | out=1 | reset=0
Time=640000 | clk=0 | x=0 | y=0 | ce_alu=0 | opConfig=000| opLoad=0 | out=0 | reset=0
Time=645000 | clk=1 | x=0 | y=0 | ce_alu=0 | opConfig=000| opLoad=0 | out=0 | reset=0
Time=650000 | clk=0 | x=0 | y=1 | ce_alu=0 | opConfig=011| opLoad=0 | out=1 | reset=0
Time=655000 | clk=1 | x=0 | y=1 | ce_alu=0 | opConfig=011| opLoad=0 | out=1 | reset=0
Time=660000 | clk=0 | x=0 | y=0 | ce_alu=0 | opConfig=001| opLoad=0 | out=0 | reset=0
Time=665000 | clk=1 | x=0 | y=0 | ce_alu=0 | opConfig=001| opLoad=0 | out=0 | reset=0
Time=670000 | clk=0 | x=0 | y=0 | ce_alu=1 | opConfig=000| opLoad=1 | out=0 | reset=0
Time=675000 | clk=1 | x=0 | y=0 | ce_alu=1 | opConfig=000| opLoad=1 | out=0 | reset=0
Time=680000 | clk=0 | x=0 | y=1 | ce_alu=0 | opConfig=001| opLoad=0 | out=1 | reset=0
Time=685000 | clk=1 | x=0 | y=1 | ce_alu=0 | opConfig=001| opLoad=0 | out=1 | reset=0
Time=690000 | clk=0 | x=0 | y=1 | ce_alu=1 | opConfig=000| opLoad=0 | out=1 | reset=0
Time=695000 | clk=1 | x=0 | y=1 | ce_alu=1 | opConfig=000| opLoad=0 | out=1 | reset=0
Time=700000 | clk=0 | x=1 | y=0 | ce_alu=1 | opConfig=001| opLoad=0 | out=1 | reset=0
Time=705000 | clk=1 | x=1 | y=0 | ce_alu=1 | opConfig=001| opLoad=0 | out=1 | reset=0
Time=710000 | clk=0 | x=0 | y=1 | ce_alu=0 | opConfig=001| opLoad=1 | out=1 | reset=0
Time=715000 | clk=1 | x=0 | y=1 | ce_alu=0 | opConfig=001| opLoad=1 | out=0 | reset=0
Time=720000 | clk=0 | x=1 | y=1 | ce_alu=0 | opConfig=101| opLoad=1 | out=1 | reset=0
Time=725000 | clk=1 | x=1 | y=1 | ce_alu=0 | opConfig=101| opLoad=1 | out=1 | reset=0
Time=730000 | clk=0 | x=0 | y=1 | ce_alu=1 | opConfig=110| opLoad=0 | out=0 | reset=0
Time=735000 | clk=1 | x=0 | y=1 | ce_alu=1 | opConfig=110| opLoad=0 | out=0 | reset=0
Time=740000 | clk=0 | x=1 | y=0 | ce_alu=0 | opConfig=011| opLoad=1 | out=1 | reset=0
Time=745000 | clk=1 | x=1 | y=0 | ce_alu=0 | opConfig=011| opLoad=1 | out=1 | reset=0
Time=750000 | clk=0 | x=1 | y=0 | ce_alu=0 | opConfig=110| opLoad=0 | out=1 | reset=0
Time=755000 | clk=1 | x=1 | y=0 | ce_alu=0 | opConfig=110| opLoad=0 | out=1 | reset=0
Time=760000 | clk=0 | x=1 | y=1 | ce_alu=0 | opConfig=111| opLoad=1 | out=0 | reset=0
Time=765000 | clk=1 | x=1 | y=1 | ce_alu=0 | opConfig=111| opLoad=1 | out=1 | reset=0
Time=770000 | clk=0 | x=0 | y=0 | ce_alu=0 | opConfig=111| opLoad=1 | out=0 | reset=0
Time=775000 | clk=1 | x=0 | y=0 | ce_alu=0 | opConfig=111| opLoad=1 | out=0 | reset=0
Time=780000 | clk=0 | x=1 | y=1 | ce_alu=1 | opConfig=110| opLoad=0 | out=1 | reset=0
Time=785000 | clk=1 | x=1 | y=1 | ce_alu=1 | opConfig=110| opLoad=0 | out=1 | reset=0
Time=790000 | clk=0 | x=1 | y=1 | ce_alu=0 | opConfig=000| opLoad=0 | out=1 | reset=0
Time=795000 | clk=1 | x=1 | y=1 | ce_alu=0 | opConfig=000| opLoad=0 | out=1 | reset=0
Time=800000 | clk=0 | x=1 | y=1 | ce_alu=1 | opConfig=000| opLoad=0 | out=1 | reset=0
Time=805000 | clk=1 | x=1 | y=1 | ce_alu=1 | opConfig=000| opLoad=0 | out=1 | reset=0
Time=810000 | clk=0 | x=0 | y=0 | ce_alu=0 | opConfig=101| opLoad=0 | out=0 | reset=0
Time=815000 | clk=1 | x=0 | y=0 | ce_alu=0 | opConfig=101| opLoad=0 | out=0 | reset=0
Time=820000 | clk=0 | x=0 | y=0 | ce_alu=0 | opConfig=011| opLoad=1 | out=0 | reset=0
Time=825000 | clk=1 | x=0 | y=0 | ce_alu=0 | opConfig=011| opLoad=1 | out=0 | reset=0
Time=830000 | clk=0 | x=1 | y=0 | ce_alu=1 | opConfig=010| opLoad=0 | out=1 | reset=0
Time=835000 | clk=1 | x=1 | y=0 | ce_alu=1 | opConfig=010| opLoad=0 | out=1 | reset=0
Time=840000 | clk=0 | x=0 | y=0 | ce_alu=0 | opConfig=000| opLoad=1 | out=0 | reset=0
Time=845000 | clk=1 | x=0 | y=0 | ce_alu=0 | opConfig=000| opLoad=1 | out=0 | reset=0
Time=850000 | clk=0 | x=0 | y=1 | ce_alu=1 | opConfig=110| opLoad=0 | out=1 | reset=0
Time=855000 | clk=1 | x=0 | y=1 | ce_alu=1 | opConfig=110| opLoad=0 | out=1 | reset=0
Time=860000 | clk=0 | x=1 | y=0 | ce_alu=0 | opConfig=000| opLoad=0 | out=1 | reset=0
Time=865000 | clk=1 | x=1 | y=0 | ce_alu=0 | opConfig=000| opLoad=0 | out=1 | reset=0
Time=870000 | clk=0 | x=0 | y=1 | ce_alu=0 | opConfig=100| opLoad=1 | out=1 | reset=0
Time=875000 | clk=1 | x=0 | y=1 | ce_alu=0 | opConfig=100| opLoad=1 | out=1 | reset=0
Time=880000 | clk=0 | x=1 | y=0 | ce_alu=0 | opConfig=110| opLoad=0 | out=1 | reset=0
Time=885000 | clk=1 | x=1 | y=0 | ce_alu=0 | opConfig=110| opLoad=0 | out=1 | reset=0
Time=890000 | clk=0 | x=1 | y=1 | ce_alu=1 | opConfig=001| opLoad=1 | out=0 | reset=0
Time=895000 | clk=1 | x=1 | y=1 | ce_alu=1 | opConfig=001| opLoad=1 | out=1 | reset=0
Time=900000 | clk=0 | x=1 | y=0 | ce_alu=0 | opConfig=111| opLoad=1 | out=1 | reset=0
Time=905000 | clk=1 | x=1 | y=0 | ce_alu=0 | opConfig=111| opLoad=1 | out=1 | reset=0
Time=910000 | clk=0 | x=0 | y=0 | ce_alu=1 | opConfig=101| opLoad=0 | out=0 | reset=0
Time=915000 | clk=1 | x=0 | y=0 | ce_alu=1 | opConfig=101| opLoad=0 | out=0 | reset=0
Time=920000 | clk=0 | x=0 | y=0 | ce_alu=0 | opConfig=110| opLoad=1 | out=0 | reset=0
Time=925000 | clk=1 | x=0 | y=0 | ce_alu=0 | opConfig=110| opLoad=1 | out=0 | reset=0
Time=930000 | clk=0 | x=0 | y=0 | ce_alu=1 | opConfig=000| opLoad=1 | out=0 | reset=0
Time=935000 | clk=1 | x=0 | y=0 | ce_alu=1 | opConfig=000| opLoad=1 | out=0 | reset=0
Time=940000 | clk=0 | x=1 | y=1 | ce_alu=0 | opConfig=110| opLoad=0 | out=0 | reset=0
Time=945000 | clk=1 | x=1 | y=1 | ce_alu=0 | opConfig=110| opLoad=0 | out=0 | reset=0
Time=950000 | clk=0 | x=0 | y=1 | ce_alu=0 | opConfig=101| opLoad=0 | out=1 | reset=0
Time=955000 | clk=1 | x=0 | y=1 | ce_alu=0 | opConfig=101| opLoad=0 | out=1 | reset=0
Time=960000 | clk=0 | x=1 | y=0 | ce_alu=0 | opConfig=111| opLoad=0 | out=1 | reset=0
Time=965000 | clk=1 | x=1 | y=0 | ce_alu=0 | opConfig=111| opLoad=0 | out=1 | reset=0
Time=970000 | clk=0 | x=0 | y=0 | ce_alu=0 | opConfig=000| opLoad=1 | out=0 | reset=0
Time=975000 | clk=1 | x=0 | y=0 | ce_alu=0 | opConfig=000| opLoad=1 | out=0 | reset=0
Time=980000 | clk=0 | x=0 | y=0 | ce_alu=0 | opConfig=001| opLoad=1 | out=0 | reset=0
Time=985000 | clk=1 | x=0 | y=0 | ce_alu=0 | opConfig=001| opLoad=1 | out=0 | reset=0
Time=990000 | clk=0 | x=1 | y=1 | ce_alu=0 | opConfig=110| opLoad=0 | out=1 | reset=0
Time=995000 | clk=1 | x=1 | y=1 | ce_alu=0 | opConfig=110| opLoad=0 | out=1 | reset=0
Time=1000000 | clk=0 | x=1 | y=1 | ce_alu=1 | opConfig=100| opLoad=0 | out=1 | reset=0
Time=1005000 | clk=1 | x=1 | y=1 | ce_alu=1 | opConfig=100| opLoad=0 | out=1 | reset=0
Time=1010000 | clk=0 | x=1 | y=1 | ce_alu=1 | opConfig=100| opLoad=0 | out=1 | reset=0
